Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
首页,home,常用图标,Base,home.svg (https://dl.airtable.com/.attachments/a89f916e7408e53e22c28397ff0de885/c7d52c1c/home.svg),首页 ，房子， 主页 ,常留留 常,2019-03-19
邮件,mail,常用图标,Base,mail.svg (https://dl.airtable.com/.attachments/34fdc906175c227efb2e26824204b596/d896729e/mail.svg),信封，消息，邮件，文件,常留留 常,2019-05-28
视频,video,常用图标,Base,video.svg (https://dl.airtable.com/.attachments/98498f232ac34f7638ea98aeccf7f5a0/d753679e/video.svg),电影，放映，播放，胶片,常留留 常,2019-05-28
评论,comment,交流沟通,Communicate,comment1.svg (https://dl.airtable.com/.attachments/e1892309dd5cbe164cbcc0cc76800e9b/3074a910/comment1.svg),对话，评论，聊天，消息，通知,刘心乐,2019-03-29
评论,comment-one,交流沟通,Communicate,comment2.svg (https://dl.airtable.com/.attachments/e23c675a58df6240b9bed8a59f9780b1/30f80b04/comment2.svg),对话，评论，聊天，消息，通知,刘心乐,2019-03-29
消息,message-one,交流沟通,Communicate,message-one.svg (https://dl.airtable.com/.attachments/60c268e4ac208be77f2020917988eac9/daee205d/message-one.svg),信息，聊天，通知，社交，沟通,常留留 常,2019-11-22
未读消息,message-unread,交流沟通,Communicate,message-unread.svg (https://dl.airtable.com/.attachments/2b9eee4a52b85cb80b042b5d1e4f7ffb/a4c952d7/message-unread.svg),信息，聊天，通知，社交，沟通，新消息，评论,常留留 常,2019-11-22
沟通,communication,交流沟通,Communicate,communication.svg (https://dl.airtable.com/.attachments/8aece699bbf0eee4c0a2dc85192709a2/874a5046/communication.svg),信息，聊天，通知，社交，沟通，新消息，合作洽谈，评论,常留留 常,2019-11-22
评论,comments,交流沟通,Communicate,comments.svg (https://dl.airtable.com/.attachments/5bccccaa1e05953bf07583a09fccb54a/22c1a71c/comments.svg),信息，聊天，通知，社交，沟通，新消息，合作洽谈，评论区,常留留 常,2019-11-22
实验,experiment,常用图标,Base,experiment.svg (https://dl.airtable.com/.attachments/addda816d61e74a1f4f627089c37aeb5/c3af72c2/experiment.svg),测试，化验，测验，蒸馏瓶,常留留 常,2019-11-22
实验,experiment-one,常用图标,Base,experiment-one.svg (https://dl.airtable.com/.attachments/20bac912f4d53787de3e904ef0d5d135/cf6a9251/experiment-one.svg),测试，化验，测验，蒸馏瓶,常留留 常,2019-11-22
相机,camera,常用图标,Base,camera.svg (https://dl.airtable.com/.attachments/a270b903fe66ae56f9f9cd466796588b/24297922/camera.svg),拍照，相机，照片，图像,常留留 常,2019-03-21
删除,delete,常用图标,Base,delete.svg (https://dl.airtable.com/.attachments/2a6cef10c47dc6eee5bb100dfeb14ee8/060aec81/delete.svg),删除，垃圾桶，勒色桶,齐 奉飞,2019-03-19
删除,delete-one,常用图标,Base,delete-one.svg (https://dl.airtable.com/.attachments/e316c24f5c77ec08cfd46c01a5c95dc8/f5f7896a/delete-one.svg),删除，垃圾桶，勒色桶,常留留 常,2019-11-22
删除,delete-two,常用图标,Base,delete-two.svg (https://dl.airtable.com/.attachments/32ecbde39d52f44a1a7960985c615daa/95d7dd6b/delete-two.svg),删除，清除，消除,金 磊,2019-11-22
成功,success,常用图标,Base,success.svg (https://dl.airtable.com/.attachments/e23b0311adb9cc3b769ec803aef0a05d/08bdf1d9/success.svg),完成，成功，勋章，胜利，获胜,金 磊,2019-11-22
记事本,notepad,书籍,Books,notepad.svg (https://dl.airtable.com/.attachments/54f27ecd2e9d2f4ba702a0555252713a/98524d11/notepad.svg),记录，账单，条例,金 磊,2019-11-22
详情列表,view-list,书籍,Books,list.svg (https://dl.airtable.com/.attachments/595766b77a512cd0de4e04f2e5bf2fdb/6a5d51f6/list.svg),list，列表，表格列表,刘心乐,2019-05-29
笔记,notes,书籍,Books,note.svg (https://dl.airtable.com/.attachments/d4902e4aa5e80c4ee537f95926065f05/238434f9/note.svg),文件，纸张，文字,刘心乐,2019-03-21
笔记本,notebook-one,书籍,Books,notebook2.svg (https://dl.airtable.com/.attachments/cf8db4cf359d721381b012a9a9663a45/ace16a32/notebook2.svg),文档，通讯录，文件，笔记本,刘心乐,2019-03-21
书签,bookmark,常用图标,Base,bookmark1.svg (https://dl.airtable.com/.attachments/0c8d95cdd2526d2c0530f2e2b469bb2f/b478637f/bookmark1.svg),书签，标签，记录，打标记,齐 奉飞,2019-05-30
标签,tag,常用图标,Base,tag1.svg (https://dl.airtable.com/.attachments/ee6ce2b9c50424d3e6aebe7bc0c442b5/43d28d3a/tag1.svg),标记，便签，标签，不关注,刘心乐,2019-03-22
